timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631701739659,78,Cart,308,Permanent Redirect,Amazon testing 1-30,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,78,0,39
1631701739738,83,Sign in,308,Permanent Redirect,Amazon testing 1-30,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,83,0,42
1631701739822,84,Search,308,Permanent Redirect,Amazon testing 1-30,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,84,0,44
1631701739906,89,Home,308,Permanent Redirect,Amazon testing 1-30,,true,,281,119,30,30,http://www.amazon.com/,89,0,46
1631701739996,80,Cart,308,Permanent Redirect,Amazon testing 1-30,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,80,0,40
1631701740077,82,Sign in,308,Permanent Redirect,Amazon testing 1-30,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,82,0,41
1631701739115,1095,Home,308,Permanent Redirect,Amazon testing 1-16,,true,,281,119,30,30,http://www.amazon.com/,1095,0,1055
1631701739116,1096,Sign in,308,Permanent Redirect,Amazon testing 1-11,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1096,0,1055
1631701739148,1089,Home,308,Permanent Redirect,Amazon testing 1-17,,true,,281,119,30,30,http://www.amazon.com/,1089,0,1048
1631701739141,1096,Cart,308,Permanent Redirect,Amazon testing 1-4,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,1096,0,1057
1631701739139,1100,Home,308,Permanent Redirect,Amazon testing 1-7,,true,,281,119,30,30,http://www.amazon.com/,1100,0,1058
1631701740161,78,Search,308,Permanent Redirect,Amazon testing 1-30,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,78,0,39
1631701739139,1101,Search,308,Permanent Redirect,Amazon testing 1-9,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,1101,0,1059
1631701739150,1092,Search,308,Permanent Redirect,Amazon testing 1-10,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,1092,0,1049
